fips,100k index
01001,12.68469827
01003,5.287958166
01005,19.39894315
01007,35.5170393
01009,5.206453225
01011,0
01013,39.9920016
01015,10.42752868
01017,2.958142287
01019,27.08684817
01021,29.59805837
01023,0
01025,24.61376894
01027,7.474623653
01029,40.16225551
01031,7.793472966
01033,10.98599286
01035,71.910256
01037,36.92966745
01039,5.355813468
01041,0
01043,17.00829033
01045,12.16416761
01047,7.49617695
01049,8.426303549
01051,2.468849294
01053,8.047728395
01055,13.59566493
01057,18.08492682
01059,9.522298048
01061,3.776178356
01063,83.14921721
01065,13.43381829
01067,11.69043722
01069,7.66600739
01071,15.37314465
01073,5.909452639
01075,0
01077,4.319169337
01079,24.12399735
01081,3.141773141
01083,9.670805772
01085,29.31806188
01087,36.79910841
01089,5.03280269
01091,40.92950915
01093,16.6866907
01095,8.40871395
01097,8.930687726
01099,13.94790921
01101,9.244837639
01103,4.195841753
01105,31.68233182
01107,24.61671771
01109,17.9910045
01111,8.860142648
01113,13.74466535
01115,16.03930087
01117,6.156836409
01119,30.85181871
01121,18.58869659
01123,12.30175718
01125,10.19166147
01127,21.71444879
01129,12.0127335
01131,27.79012895
01133,12.55976354
02013,0
02016,0
02020,1.01382177
02050,0
02060,0
02068,149.7005988
02070,0
02090,1.004490071
02100,0
02110,3.093198057
02122,8.586049387
02130,0
02150,0
02164,0
02170,8.710295569
02180,0
02185,10.22390349
02188,0
02201,0
02220,0
02232,0
02240,14.52432825
02261,0
02280,0
02282,0
02290,0
04001,13.98738338
04003,9.512801853
04005,18.559259
04007,16.86928553
04009,5.284239228
04011,0
04012,96.73518742
04013,3.340817549
04015,8.740257041
04017,14.72951998
04019,3.828796635
04021,8.58574223
04023,10.7508848
04025,11.57665079
04027,4.336906302
05001,5.521140447
05003,19.48425185
05005,2.426136281
05007,4.2487611
05009,8.049887838
05011,9.154826424
05013,0
05015,10.77748798
05017,55.38222969
05019,26.74535745
05021,46.54688601
05023,3.962844371
05025,12.16989169
05027,16.74046421
05029,38.29950211
05031,12.28608044
05033,9.607778457
05035,34.70237609
05037,17.67138296
05039,0
05041,25.22958926
05043,21.62021923
05045,5.712634879
05047,28.15156804
05049,24.68851326
05051,5.090125767
05053,33.17226356
05055,20.16580775
05057,40.90760336
05059,32.81192206
05061,22.43997307
05063,5.36506591
05065,0
