fips,Total
Connecticut - Fairfield,23
,
Connecticut - Hartford,24
,
Connecticut - Litchfield,8
,
Connecticut - Middlesex,5
,
Connecticut - New Haven,35
,
Connecticut - New London,13
,
Connecticut - Tolland,10
,
Connecticut - Windham,10
,
Delaware - Kent,9
,
Delaware - New Castle,24
,
Delaware - Sussex,25
,
District of Columbia - District,9
,
Florida - Alachua,29
,
Florida - Baker,3
,
Florida - Bay,10
,
Florida - Bradford,8
,
Florida - Brevard,25
,
Florida - Broward,67
,
Florida - Calhoun,4
,
Florida - Charlotte,14
,
Florida - Citrus,8
,
Florida - Clay,10
,
Florida - Collier,20
,
Florida - Columbia,17
,
Florida - DeSoto,10
,
Florida - Dixie,1
,
Florida - Duval,56
,
Florida - Escambia,12
,
Florida - Flagler,8
,
Florida - Gadsden,6
,
Florida - Gilchrist,3
,
Florida - Glades,7
,
Florida - Gulf,1
,
Florida - Hamilton,4
,
Florida - Hardee,8
,
Florida - Hendry,7
,
Florida - Hernando,9
,
Florida - Highlands,10
,
Florida - Hillsborough,71
,
Florida - Holmes,2
,
Florida - Indian River,19
,
Florida - Jackson,17
,
Florida - Jefferson,2
,
Florida - Lafayette,2
,
Florida - Lake,27
,
Florida - Lee,42
,
Florida - Leon,13
,
Florida - Levy,7
,
Florida - Liberty,1
,
Florida - Madison,6
,
Florida - Manatee,25
,
Florida - Marion,38
,
Florida - Martin,11
,
Florida - Miami-Dade,74
,
Florida - Monroe,10
,
Florida - Nassau,17
,
Florida - Okaloosa,13
,
Florida - Okeechobee,9
,
Florida - Orange,72
,
Florida - Osceola,31
,
Florida - Palm Beach,56
,
Florida - Pasco,29
,
Florida - Pinellas,20
,
Florida - Polk,80
,
Florida - Putnam,12
,
Florida - St. Johns,19
,
Florida - St. Lucie,13
,
Florida - Santa Rosa,8
,
Florida - Sarasota,28
,
Florida - Seminole,12
,
Florida - Sumter,15
,
Florida - Suwannee,12
,
Florida - Taylor,4
,
Florida - Union,2
,
Florida - Volusia,36
,
Florida - Wakulla,5
,
Florida - Walton,6
,
Florida - Washington,4
,
Georgia - Appling,5
,
Georgia - Atkinson,3
,
Georgia - Bacon,4
,
Georgia - Baldwin,6
,
Georgia - Banks,9
,
Georgia - Barrow,13
,
Georgia - Bartow,14
,
Georgia - Ben Hill,4
,
Georgia - Berrien,2
,
Georgia - Bibb,22
,
Georgia - Bleckley,2
,
Georgia - Brantley,1
,
Georgia - Brooks,4
,
Georgia - Bryan,7
,
Georgia - Bulloch,11
,
Georgia - Burke,5
,
Georgia - Butts,4
,
Georgia - Calhoun,1
,
Georgia - Camden,3
,
Georgia - Candler,2
,
Georgia - Carroll,17
,
,
,
Georgia - Catoosa,2
,
Georgia - Charlton,3
,
Georgia - Chatham,18
,
Georgia - Chattahoochee,5
,
Georgia - Chattooga,2
,
Georgia - Cherokee,6
,
Georgia - Clarke,3
,
Georgia - Clay,1
,
Georgia - Clayton,13
,
Georgia - Clinch,3
,
Georgia - Cobb,28
,
Georgia - Coffee,3
,
Georgia - Colquitt,10
,
Georgia - Columbia,8
,
Georgia - Cook,2
,
Georgia - Coweta,12
,
Georgia - Crawford,1
,
Georgia - Crisp,4
,
Georgia - Dade,6
,
Georgia - Dawson,4
,
Georgia - Decatur,6
,
Georgia - DeKalb,34
,
Georgia - Dodge,2
,
Georgia - Dooly,8
,
Georgia - Dougherty,6
,
Georgia - Douglas,12
,
Georgia - Early,1
,
Georgia - Echols,1
,
Georgia - Effingham,8
,
Georgia - Elbert,3
,
Georgia - Emanuel,4
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Georgia - Evans,1
,
Georgia - Fannin,1
,
Georgia - Fayette,6
,
Georgia - Floyd,11
,
Georgia - Forsyth,7
,
Georgia - Franklin,6
,
Georgia - Fulton,51
,
Georgia - Gilmer,3
,
Georgia - Glynn,15
,
Georgia - Gordon,6
,
Georgia - Grady,2
,
Georgia - Greene,5
,
Georgia - Gwinnett,26
,
Georgia - Hall,14
,
Georgia - Hancock,3
,
Georgia - Haralson,1
,
Georgia - Harris,5
,
Georgia - Hart,1
,
Georgia - Heard,2
,
Georgia - Henry,21
,
Georgia - Houston,9
,
Georgia - Irwin,2
,
Georgia - Jackson,16
,
Georgia - Jasper,1
,
Georgia - Jeff Davis,4
,
Georgia - Jefferson,3
,
Georgia - Jones,7
,
Georgia - Laurens,9
,
Georgia - Liberty,3
,
Georgia - Lincoln,1
,
Georgia - Long,1
,
,
,
Georgia - Lowndes,20
,
Georgia - McDuffie,10
,
Georgia - McIntosh,4
,
Georgia - Macon,3
,
Georgia - Madison,3
,
Georgia - Meriwether,4
,
Georgia - Miller,2
,
Georgia - Mitchell,4
,
Georgia - Monroe,5
,
Georgia - Montgomery,1
,
Georgia - Morgan,5
,
Georgia - Murray,5
,
Georgia - Muscogee,11
,
Georgia - Newton,8
,
Georgia - Oconee,8
,
Georgia - Oglethorpe,1
,
Georgia - Paulding,6
,
Georgia - Peach,5
,
Georgia - Pickens,5
,
Georgia - Pierce,2
,
Georgia - Pike,5
,
Georgia - Polk,5
,
Georgia - Pulaski,1
,
Georgia - Putnam,3
,
Georgia - Rabun,1
,
Georgia - Randolph,1
,
Georgia - Richmond,12
,
Georgia - Rockdale,3
,
Georgia - Schley,1
,
Georgia - Screven,5
,
,
,
Georgia - Seminole,2
,
Georgia - Spalding,7
,
Georgia - Stephens,1
,
Georgia - Stewart,1
,
Georgia - Sumter,6
,
Georgia - Talbot,1
,
Georgia - Taliaferro,2
,
Georgia - Tattnall,2
,
Georgia - Taylor,3
,
Georgia - Telfair,2
,
Georgia - Terrell,1
,
Georgia - Thomas,3
,
Georgia - Tift,3
,
Georgia - Toombs,1
,
Georgia - Towns,1
,
Georgia - Treutlen,3
,
Georgia - Troup,11
,
Georgia - Turner,4
,
Georgia - Twiggs,3
,
Georgia - Union,2
,
Georgia - Walker,1
,
Georgia - Walton,4
,
Georgia - Ware,7
,
Georgia - Warren,5
,
Georgia - Washington,2
,
Georgia - Wayne,6
,
Georgia - Wheeler,3
,
Georgia - White,2
,
Georgia - Whitfield,10
,
Georgia - Wilkinson,2
,
Georgia - Worth,11
,
,
,
Hawaii - Hawaii,14
,
Hawaii - Honolulu,7
,
Hawaii - Kauai,2
,
Hawaii - Maui,4
,
Idaho - Ada,11
,
Idaho - Adams,2
,
Idaho - Bannock,3
,
Idaho - Bear Lake,1
,
Idaho - Benewah,2
,
Idaho - Bingham,6
,
Idaho - Blaine,1
,
Idaho - Boise,1
,
Idaho - Bonner,10
,
Idaho - Canyon,17
,
Idaho - Caribou,1
,
Idaho - Cassia,6
,
Idaho - Clearwater,2
,
Idaho - Custer,2
,
Idaho - Elmore,5
,
Idaho - Franklin,1
,
Idaho - Fremont,5
,
Idaho - Gem,1
,
Idaho - Gooding,6
,
Idaho - Idaho,6
,
Idaho - Jefferson,3
,
Idaho - Jerome,11
,
Idaho - Kootenai,8
,
Idaho - Latah,4
,
Idaho - Lemhi,1
,
Idaho - Lewis,1
,
Idaho - Lincoln,5
,
Idaho - Madison,4
,
Idaho - Minidoka,9
,
,
,
Idaho - Nez Perce,4
,
Idaho - Oneida,1
,
Idaho - Payette,1
,
Idaho - Power,5
,
Idaho - Shoshone,6
,
Idaho - Teton,1
,
Idaho - Twin Falls,13
,
Idaho - Valley,1
,
Idaho - Washington,1
,
Illinois - Adams,3
,
Illinois - Bond,2
,
Illinois - Boone,2
,
Illinois - Brown,1
,
Illinois - Bureau,7
,
Illinois - Carroll,1
,
Illinois - Cass,2
,
Illinois - Champaign,12
,
Illinois - Christian,4
,
Illinois - Clark,5
,
Illinois - Clay,1
,
Illinois - Clinton,3
,
Illinois - Coles,7
,
Illinois - Cook,104
,
Illinois - Cumberland,4
,
Illinois - DeKalb,2
,
Illinois - De Witt,2
,
Illinois - Douglas,2
,
Illinois - DuPage,15
,
Illinois - Edgar,4
,
Illinois - Edwards,3
,
Illinois - Effingham,11
,
,
,
Illinois - Fayette,9
,
Illinois - Ford,2
,
Illinois - Franklin,3
,
Illinois - Fulton,1
,
Illinois - Gallatin,1
,
Illinois - Greene,2
,
Illinois - Grundy,7
,
Illinois - Hardin,1
,
Illinois - Henderson,2
,
Illinois - Henry,9
,
Illinois - Iroquois,8
,
Illinois - Jackson,1
,
Illinois - Jefferson,9
,
Illinois - Jersey,1
,
Illinois - Jo Daviess,7
,
Illinois - Johnson,2
,
Illinois - Kane,16
,
Illinois - Kankakee,18
,
Illinois - Kendall,6
,
Illinois - Knox,6
,
Illinois - Lake,22
,
Illinois - LaSalle,20
,
Illinois - Lee,3
,
Illinois - Livingston,9
,
Illinois - Logan,6
,
Illinois - McHenry,10
,
Illinois - McLean,16
,
Illinois - Macon,10
,
Illinois - Macoupin,2
,
Illinois - Madison,21
,
,
,
Illinois - Marion,4
,
Illinois - Massac,2
,
Illinois - Monroe,2
,
Illinois - Montgomery,3
,
Illinois - Morgan,1
,
Illinois - Moultrie,1
,
Illinois - Ogle,7
,
Illinois - Peoria,6
,
Illinois - Perry,2
,
Illinois - Piatt,2
,
Illinois - Pike,1
,
Illinois - Pulaski,2
,
Illinois - Putnam,1
,
Illinois - Randolph,3
,
Illinois - Richland,3
,
Illinois - Rock Island,6
,
Illinois - St. Clair,18
,
Illinois - Saline,3
,
Illinois - Sangamon,10
,
Illinois - Shelby,1
,
Illinois - Stark,2
,
Illinois - Stephenson,2
,
Illinois - Tazewell,4
,
Illinois - Union,5
,
Illinois - Vermilion,6
,
Illinois - Warren,3
,
Illinois - Washington,5
,
Illinois - Wayne,2
,
Illinois - White,2
,
Illinois - Whiteside,1
,
,
,
Illinois - Will,44
,
Illinois - Williamson,12
,
Illinois - Winnebago,12
,
Illinois - Woodford,2
,
Indiana - Adams,5
,
Indiana - Allen,18
,
Indiana - Bartholomew,11
,
Indiana - Benton,2
,
Indiana - Blackford,1
,
Indiana - Boone,12
,
Indiana - Brown,1
,
Indiana - Carroll,3
,
Indiana - Cass,6
,
Indiana - Clark,7
,
Indiana - Clay,3
,
Indiana - Clinton,4
,
Indiana - Crawford,2
,
Indiana - Daviess,5
,
Indiana - Dearborn,9
,
Indiana - Decatur,5
,
Indiana - DeKalb,6
,
Indiana - Delaware,4
,
Indiana - Dubois,1
,
Indiana - Elkhart,24
,
Indiana - Fayette,3
,
Indiana - Floyd,5
,
Indiana - Fountain,3
,
Indiana - Franklin,1
,
Indiana - Fulton,3
,
Indiana - Gibson,9
,
,
,
Indiana - Grant,5
,
Indiana - Greene,3
,
Indiana - Hamilton,8
,
Indiana - Hancock,7
,
Indiana - Harrison,4
,
Indiana - Hendricks,7
,
Indiana - Henry,5
,
Indiana - Howard,13
,
Indiana - Huntington,5
,
Indiana - Jackson,10
,
Indiana - Jasper,5
,
Indiana - Jay,5
,
Indiana - Jefferson,2
,
Indiana - Jennings,6
,
Indiana - Johnson,8
,
Indiana - Knox,3
,
Indiana - Kosciusko,13
,
Indiana - LaGrange,8
,
Indiana - Lake,34
,
Indiana - LaPorte,25
,
Indiana - Lawrence,5
,
Indiana - Madison,9
,
Indiana - Marion,40
,
Indiana - Marshall,12
,
Indiana - Martin,1
,
Indiana - Miami,9
,
Indiana - Monroe,4
,
Indiana - Montgomery,5
,
Indiana - Morgan,6
,
Indiana - Newton,7
,
,
,
Indiana - Noble,4
,
Indiana - Orange,2
,
Indiana - Owen,1
,
Indiana - Parke,2
,
Indiana - Pike,1
,
Indiana - Porter,12
,
Indiana - Posey,5
,
Indiana - Pulaski,2
,
Indiana - Putnam,8
,
Indiana - Randolph,6
,
Indiana - Ripley,3
,
Indiana - Rush,3
,
Indiana - St. Joseph,16
,
Indiana - Scott,1
,
Indiana - Shelby,8
,
Indiana - Spencer,5
,
Indiana - Starke,2
,
Indiana - Steuben,10
,
Indiana - Sullivan,4
,
Indiana - Switzerland,2
,
Indiana - Tippecanoe,10
,
Indiana - Tipton,3
,
Indiana - Vanderburgh,8
,
Indiana - Vermillion,4
,
Indiana - Vigo,10
,
Indiana - Wabash,3
,
Indiana - Warren,2
,
Indiana - Warrick,5
,
Indiana - Washington,3
,
Indiana - Wayne,6
,
Indiana - Wells,3
,
,
,
Indiana - White,10
,
Indiana - Whitley,2
,
Iowa - Adair,3
,
Iowa - Adams,1
,
Iowa - Appanoose,2
,
Iowa - Benton,8
,
Iowa - Black Hawk,10
,
Iowa - Boone,1
,
Iowa - Bremer,1
,
Iowa - Buchanan,3
,
Iowa - Buena Vista,2
,
Iowa - Butler,1
,
Iowa - Calhoun,2
,
Iowa - Carroll,3
,
Iowa - Cass,10
,
Iowa - Cedar,5
,
Iowa - Cerro Gordo,9
,
Iowa - Cherokee,2
,
Iowa - Chickasaw,2
,
Iowa - Clarke,3
,
Iowa - Clay,2
,
Iowa - Clayton,1
,
Iowa - Clinton,3
,
Iowa - Dallas,2
,
Iowa - Davis,3
,
Iowa - Decatur,4
,
Iowa - Delaware,3
,
Iowa - Des Moines,3
,
Iowa - Dickinson,1
,
Iowa - Dubuque,3
,
Iowa - Fayette,1
,
Iowa - Floyd,3
,
Iowa - Franklin,1
,
,
,
Iowa - Greene,3
,
Iowa - Grundy,1
,
Iowa - Guthrie,2
,
Iowa - Hamilton,2
,
Iowa - Hancock,1
,
Iowa - Hardin,2
,
Iowa - Harrison,2
,
Iowa - Henry,1
,
Iowa - Humboldt,2
,
Iowa - Ida,2
,
Iowa - Iowa,3
,
Iowa - Jackson,1
,
Iowa - Jasper,2
,
Iowa - Johnson,9
,
Iowa - Jones,2
,
Iowa - Keokuk,5
,
Iowa - Kossuth,2
,
Iowa - Lee,6
,
Iowa - Linn,6
,
Iowa - Louisa,2
,
Iowa - Lyon,3
,
Iowa - Madison,2
,
Iowa - Mahaska,5
,
Iowa - Marion,3
,
Iowa - Marshall,5
,
Iowa - Mills,6
,
Iowa - Mitchell,1
,
Iowa - Monona,2
,
Iowa - Monroe,1
,
Iowa - Muscatine,3
,
Iowa - Osceola,2
,
Iowa - Page,2
,
Iowa - Palo Alto,2
,
Iowa - Plymouth,5
,
,
,
Iowa - Pocahontas,1
,
Iowa - Polk,7
,
Iowa - Pottawattamie,6
,
Iowa - Poweshiek,4
,
Iowa - Ringgold,2
,
Iowa - Sac,5
,
Iowa - Scott,8
,
Iowa - Sioux,6
,
Iowa - Story,5
,
Iowa - Tama,8
,
Iowa - Wapello,3
,
Iowa - Warren,8
,
Iowa - Washington,5
,
Iowa - Wayne,1
,
Iowa - Webster,2
,
Iowa - Winneshiek,1
,
Iowa - Woodbury,5
,
Iowa - Wright,2
,
Kansas - Allen,5
,
Kansas - Anderson,5
,
Kansas - Atchison,1
,
Kansas - Barber,2
,
Kansas - Barton,5
,
Kansas - Bourbon,1
,
Kansas - Brown,6
,
Kansas - Butler,9
,
Kansas - Chase,6
,
Kansas - Chautauqua,1
,
Kansas - Cherokee,1
,
Kansas - Cheyenne,1
,
Kansas - Clark,2
,
Kansas - Clay,1
,
Kansas - Cloud,1
,
,
,
Kansas - Coffey,2
,
Kansas - Cowley,2
,
Kansas - Crawford,2
,
Kansas - Decatur,2
,
Kansas - Dickinson,1
,
Kansas - Doniphan,2
,
Kansas - Douglas,3
,
Kansas - Edwards,1
,
Kansas - Ellis,4
,
Kansas - Ellsworth,6
,
Kansas - Finney,8
,
Kansas - Ford,9
,
Kansas - Franklin,3
,
Kansas - Geary,3
,
Kansas - Gove,3
,
Kansas - Grant,1
,
Kansas - Gray,3
,
Kansas - Greenwood,4
,
Kansas - Hamilton,1
,
Kansas - Harper,2
,
Kansas - Harvey,4
,
Kansas - Haskell,3
,
Kansas - Hodgeman,2
,
Kansas - Jackson,6
,
Kansas - Jefferson,2
,
Kansas - Jewell,1
,
Kansas - Johnson,12
,
Kansas - Kearny,2
,
Kansas - Kingman,1
,
Kansas - Kiowa,4
,
Kansas - Labette,3
,
Kansas - Lane,2
,
,
,
Kansas - Leavenworth,7
,
Kansas - Linn,1
,
Kansas - Logan,1
,
Kansas - Lyon,3
,
Kansas - McPherson,5
,
Kansas - Marion,6
,
Kansas - Meade,3
,
Kansas - Miami,3
,
Kansas - Mitchell,1
,
Kansas - Montgomery,10
,
Kansas - Morton,1
,
Kansas - Nemaha,1
,
Kansas - Neosho,7
,
Kansas - Ness,4
,
Kansas - Norton,1
,
Kansas - Osborne,1
,
Kansas - Pawnee,2
,
Kansas - Phillips,2
,
Kansas - Pottawatomie,1
,
Kansas - Pratt,5
,
Kansas - Reno,6
,
Kansas - Rice,2
,
Kansas - Riley,2
,
Kansas - Rooks,2
,
Kansas - Russell,3
,
Kansas - Saline,6
,
Kansas - Scott,2
,
Kansas - Sedgwick,23
,
Kansas - Seward,12
,
Kansas - Shawnee,5
,
Kansas - Sheridan,2
,
Kansas - Sherman,2
,
,
,
Kansas - Smith,1
,
Kansas - Stanton,2
,
Kansas - Stevens,4
,
Kansas - Sumner,7
,
Kansas - Thomas,6
,
Kansas - Trego,3
,
Kansas - Wabaunsee,1
,
Kansas - Wallace,1
,
Kansas - Washington,2
,
Kansas - Wilson,3
,
Kansas - Wyandotte,6
,
Kentucky - Adair,2
,
Kentucky - Allen,6
,
Kentucky - Ballard,3
,
Kentucky - Barren,3
,
Kentucky - Bath,3
,
Kentucky - Bell,3
,
Kentucky - Boone,9
,
Kentucky - Boyd,4
,
Kentucky - Breathitt,1
,
Kentucky - Bullitt,8
,
Kentucky - Calloway,3
,
Kentucky - Campbell,3
,
Kentucky - Carlisle,1
,
Kentucky - Carroll,1
,
Kentucky - Carter,3
,
Kentucky - Casey,2
,
Kentucky - Christian,7
,
Kentucky - Clark,2
,
Kentucky - Clay,1
,
Kentucky - Clinton,5
,
,
,
Kentucky - Cumberland,3
,
Kentucky - Daviess,11
,
Kentucky - Fayette,19
,
Kentucky - Floyd,1
,
Kentucky - Franklin,4
,
Kentucky - Fulton,1
,
Kentucky - Gallatin,3
,
Kentucky - Garrard,2
,
Kentucky - Grant,2
,
Kentucky - Graves,4
,
Kentucky - Grayson,4
,
Kentucky - Greenup,3
,
Kentucky - Hancock,1
,
Kentucky - Hardin,15
,
Kentucky - Harlan,5
,
Kentucky - Harrison,2
,
Kentucky - Hart,6
,
Kentucky - Henderson,6
,
Kentucky - Henry,5
,
Kentucky - Hickman,1
,
Kentucky - Hopkins,4
,
Kentucky - Jefferson,44
,
Kentucky - Jessamine,3
,
Kentucky - Johnson,3
,
Kentucky - Kenton,6
,
Kentucky - Knott,2
,
Kentucky - Knox,3
,
Kentucky - Larue,3
,
Kentucky - Laurel,9
,
Kentucky - Lawrence,4
,
,
,
Kentucky - Leslie,1
,
Kentucky - Letcher,4
,
Kentucky - Lewis,3
,
Kentucky - Lincoln,2
,
Kentucky - Livingston,2
,
Kentucky - Logan,3
,
Kentucky - Lyon,3
,
Kentucky - McCracken,6
,
Kentucky - McLean,1
,
Kentucky - Madison,6
,
Kentucky - Magoffin,1
,
Kentucky - Marion,2
,
Kentucky - Marshall,8
,
Kentucky - Martin,1
,
Kentucky - Mason,1
,
Kentucky - Meade,1
,
Kentucky - Menifee,1
,
Kentucky - Mercer,1
,
Kentucky - Metcalfe,5
,
Kentucky - Montgomery,6
,
Kentucky - Morgan,1
,
Kentucky - Muhlenberg,3
,
Kentucky - Nelson,5
,
Kentucky - Nicholas,1
,
Kentucky - Ohio,5
,
Kentucky - Oldham,6
,
Kentucky - Owen,1
,
Kentucky - Owsley,1
,
Kentucky - Pendleton,3
,
Kentucky - Perry,3
,
,
,
Kentucky - Pike,6
,
Kentucky - Powell,4
,
Kentucky - Pulaski,4
,
Kentucky - Rockcastle,3
,
Kentucky - Rowan,2
,
Kentucky - Russell,1
,
Kentucky - Scott,4
,
Kentucky - Shelby,6
,
Kentucky - Simpson,4
,
Kentucky - Spencer,2
,
Kentucky - Taylor,3
,
Kentucky - Trigg,1
,
Kentucky - Warren,14
,
Kentucky - Wayne,3
,
Kentucky - Webster,1
,
Kentucky - Whitley,6
,
Kentucky - Wolfe,2
,
Kentucky - Woodford,2
,
Louisiana - Acadia,8
,
Louisiana - Allen,3
,
Louisiana - Ascension,14
,
Louisiana - Assumption,1
,
Louisiana - Avoyelles,1
,
Louisiana - Beauregard,7
,
Louisiana - Bienville,4
,
Louisiana - Bossier,6
,
Louisiana - Caddo,19
,
Louisiana - Calcasieu,21
,
Louisiana - Claiborne,3
