fips,10k index
01001,1.268469827
01003,0.528795817
01005,1.939894315
01007,3.55170393
01009,0.520645323
01011,0
01013,3.99920016
01015,1.042752868
01017,0.295814229
01019,2.708684817
01021,2.959805837
01023,0
01025,2.461376894
01027,0.747462365
01029,4.016225551
01031,0.779347297
01033,1.098599286
01035,7.1910256
01037,3.692966745
01039,0.535581347
01041,0
01043,1.700829033
01045,1.216416761
01047,0.749617695
01049,0.842630355
01051,0.246884929
01053,0.804772839
01055,1.359566493
01057,1.808492682
01059,0.952229805
01061,0.377617836
01063,8.314921721
01065,1.343381829
01067,1.169043722
01069,0.766600739
01071,1.537314465
01073,0.590945264
01075,0
01077,0.431916934
01079,2.412399735
01081,0.314177314
01083,0.967080577
01085,2.931806188
01087,3.679910841
01089,0.503280269
01091,4.092950915
01093,1.66866907
01095,0.840871395
01097,0.893068773
01099,1.394790921
01101,0.924483764
01103,0.419584175
01105,3.168233182
01107,2.461671771
01109,1.79910045
01111,0.886014265
01113,1.374466535
01115,1.603930087
01117,0.615683641
01119,3.085181871
01121,1.858869659
01123,1.230175718
01125,1.019166147
01127,2.171444879
01129,1.20127335
01131,2.779012895
01133,1.255976354
02013,0
02016,0
02020,0.101382177
02050,0
02060,0
02068,14.97005988
02070,0
02090,0.100449007
02100,0
02110,0.309319806
02122,0.858604939
02130,0
02150,0
02164,0
02170,0.871029557
02180,0
02185,1.022390349
02188,0
02201,0
02220,0
02232,0
02240,1.452432825
02261,0
02280,0
02282,0
02290,0
04001,1.398738338
04003,0.951280185
04005,1.8559259
04007,1.686928553
04009,0.528423923
04011,0
04012,9.673518742
04013,0.334081755
04015,0.874025704
04017,1.472951998
04019,0.382879663
04021,0.858574223
04023,1.07508848
04025,1.157665079
04027,0.43369063
05001,0.552114045
05003,1.948425185
05005,0.242613628
05007,0.42487611
05009,0.804988784
05011,0.915482642
05013,0
05015,1.077748798
05017,5.538222969
05019,2.674535745
05021,4.654688601
05023,0.396284437
05025,1.216989169
05027,1.674046421
05029,3.829950211
05031,1.228608044
05033,0.960777846
05035,3.470237609
05037,1.767138296
05039,0
05041,2.522958926
05043,2.162021923
05045,0.571263488
05047,2.815156804
05049,2.468851326
05051,0.509012577
05053,3.317226356
05055,2.016580775
05057,4.090760336
05059,3.281192206
05061,2.243997307
05063,0.536506591
05065,0
05067,1.744023812
05069,0.426085524
05071,1.142857143
05073,1.447932353
05075,4.20132762
05077,0
05079,0.732300302
05081,2.420096481
05083,0.91963325
05085,1.386197356
05087,0.623371442
05089,0.608954061
05091,2.980817294
05093,1.633803869
05095,6.909131108
05097,3.338898164
05099,2.372591819
05101,1.276291607
05103,1.24453442
05105,0.967510981
05107,2.100818269
05109,1.850036076
